,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
43,1979,TX,Texas,13385000,67988,2235,6043.0,,25667,34043,725109,239758,412515,72836,,1580151
44,1979,UT,Utah,1367000,4158,66,381.0,,1062,2649,70918,16115,50216,4587,,149771
45,1979,VA,Virginia,5197000,15642,447,1407.0,,5799,7989,211014,56265,141923,12826,,451905
46,1979,VT,Vermont,493000,908,7,113.0,,141,647,25217,7779,15776,1662,,52137
47,1979,WA,Washington,3926000,17064,187,1821.0,,4739,10317,239285,70024,152204,17057,,510877
48,1979,WI,Wisconsin,4720000,7839,160,758.0,,2857,4064,199273,44806,141880,12587,,413466
49,1979,WV,West Virginia,1878000,3156,128,291.0,,825,1912,40513,11959,24755,3799,,87047
50,1979,WY,Wyoming,450000,1579,41,124.0,,190,1224,20129,3887,14607,1635,,43292
51,1980,,,225349264,1344520,23040,82990.0,,565840,672650,12063700,3795200,7136900,1131700,,26733550
52,1980,AK,Alaska,440142,1919,39,250.0,,360,1270,22930,5545,14916,2469,,49448
53,1980,AL,Alabama,3861466,17320,509,1158.0,,5102,10551,173191,58952,102029,12210,,379864
54,1980,AR,Arkansas,2284037,7656,210,609.0,,1848,4989,79390,25559,49558,4273,,173483
55,1980,AZ,Arizona,2715357,17673,279,1227.0,,5258,10909,204193,58527,132814,12852,,442505
56,1980,CA,California,23532680,210290,3411,13693.0,,90420,102766,1633042,545138,913070,174834,,3672971
57,1980,CO,Colorado,2878407,15215,198,1510.0,,4608,8899,195872,58455,124514,12903,,420664
58,1980,CT,Connecticut,3095224,12768,146,670.0,,6749,5203,169283,52638,95631,21014,,363432
59,1980,DC,District of Columbia,635233,12772,200,439.0,,8897,3236,50896,16260,31068,3568,,126897
60,1980,DE,Delaware,594779,2824,41,144.0,,815,1824,37482,9698,25077,2707,,80468
61,1980,FL,Florida,9567112,94095,1387,5439.0,,34015,53254,709730,239825,424223,45682,,1602211
62,1980,GA,Georgia,5400851,29993,743,2391.0,,10670,16189,272652,91773,160764,20115,,602899
63,1980,HI,Hawaii,964680,2889,84,335.0,,1835,635,69291,17822,45564,5905,,144025
64,1980,IA,Iowa,2907804,5826,63,416.0,,1596,3751,132200,31390,93605,7205,,275636
65,1980,ID,Idaho,943629,2957,29,211.0,,442,2275,42169,11691,28243,2235,,90041
66,1980,IL,Illinois,11355062,91753,1205,3950.0,,41675,44923,620107,177099,369319,73689,,1419770
67,1980,IN,Indiana,5461103,20633,485,1808.0,,7720,10620,248619,71720,153297,23602,,536696
68,1980,KS,Kansas,2354783,9168,163,742.0,,2664,5599,117492,35826,75268,6398,,252578
69,1980,KY,Kentucky,3641479,9711,321,698.0,,3468,5224,115328,37901,68296,9131,,249380
70,1980,LA,Louisiana,4199542,27926,661,1867.0,,8271,17127,201106,63997,121298,15811,,456197
