year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
1980,CT,Connecticut,3095224,12768,146,670.0,,6749,5203,169283.0,52638.0,95631,21014,,240038.0
1980,DC,District of Columbia,635233,12772,200,439.0,,8897,3236,50896.0,16260.0,31068,3568,,83364.0
1980,DE,Delaware,594779,2824,41,144.0,,815,1824,37482.0,9698.0,25077,2707,,51869.0
1980,FL,Florida,9567112,94095,1387,5439.0,,34015,53254,709730.0,239825.0,424223,45682,,1098291.0
1980,GA,Georgia,5400851,29993,743,2391.0,,10670,16189,272652.0,91773.0,160764,20115,,411350.0
1980,HI,Hawaii,964680,2889,84,335.0,,1835,635,69291.0,17822.0,45564,5905,,90721.0
1980,IA,Iowa,2907804,5826,63,416.0,,1596,3751,132200.0,31390.0,93605,7205,,173230.0
1980,ID,Idaho,943629,2957,29,211.0,,442,2275,42169.0,11691.0,28243,2235,,59121.0
1980,IL,Illinois,11355062,91753,1205,3950.0,,41675,44923,620107.0,177099.0,369319,73689,,935087.0
1980,IN,Indiana,5461103,20633,485,1808.0,,7720,10620,248619.0,71720.0,153297,23602,,352077.0
1980,KS,Kansas,2354783,9168,163,742.0,,2664,5599,117492.0,35826.0,75268,6398,,168248.0
1980,KY,Kentucky,3641479,9711,321,698.0,,3468,5224,115328.0,37901.0,68296,9131,,168485.0
1980,LA,Louisiana,4199542,27926,661,1867.0,,8271,17127,201106.0,63997.0,121298,15811,,310817.0
1980,MA,Massachusetts,5728288,34444,232,1562.0,,13492,19158,313787.0,99697.0,153849,60241,,467318.0
1980,MD,Maryland,4192211,35735,399,1681.0,,16461,17194,242214.0,71183.0,152144,18887,,366725.0
1980,ME,Maine,1123670,2173,32,145.0,,346,1650,46904.0,13291.0,31151,2462,,64050.0
1980,MI,Michigan,9228128,59014,940,4304.0,,22519,31251,557051.0,160688.0,342384,53979,,808944.0
1980,MN,Minnesota,4061235,9250,106,942.0,,4025,4177,185668.0,50602.0,123050,12016,,249803.0
1980,MO,Missouri,4901288,27177,544,1600.0,,10958,14075,239115.0,81798.0,136998,20319,,362709.0
1980,MT,Montana,781592,1740,31,164.0,,266,1279,37531.0,7430.0,27587,2514,,48011.0
1980,NC,North Carolina,5843665,26589,619,1324.0,,4810,19836,244585.0,83150.0,148804,12631,,374779.0
1980,ND,North Dakota,652437,352,8,62.0,,50,232,18984.0,3186.0,14629,1169,,22762.0
1980,NE,Nebraska,1563921,3512,69,363.0,,1286,1794,63818.0,14316.0,45692,3810,,83509.0
1980,NH,New Hampshire,919114,1653,23,159.0,,386,1085,41358.0,12067.0,26443,2848,,56186.0
1980,NJ,New Jersey,7342164,44373,504,2257.0,,22299,19313,425623.0,137900.0,234160,53563,,627713.0
1980,NM,New Mexico,1295474,7967,170,561.0,,1657,5579,69490.0,19335.0,45613,4542,,102541.0
1980,NV,Nevada,800312,7304,160,538.0,,3686,2920,63556.0,23263.0,34864,5429,,97203.0
1980,NY,New York,17506690,180235,2228,5405.0,,112273,60329,1029749.0,360925.0,535783,133041,,1633466.0
1980,OH,Ohio,10766808,53646,871,3696.0,,24082,24997,531141.0,157874.0,327322,45945,,768529.0
1980,OK,Oklahoma,3001252,12589,299,1088.0,,3147,8055,139061.0,50802.0,75649,12610,,210806.0
1980,OR,Oregon,2610477,12802,132,1084.0,,3978,7608,161759.0,45641.0,106712,9406,,227942.0
1980,PA,Pennsylvania,11824220,43032,809,2722.0,,21039,18462,398761.0,122800.0,226496,49465,,583864.0
1980,RI,Rhode Island,945835,3864,42,162.0,,1122,2538,52249.0,16233.0,28037,7979,,74926.0
1980,SC,South Carolina,3064557,20225,348,1148.0,,3620,15109,146461.0,51177.0,85905,9379,,233320.0
1980,SD,South Dakota,688217,873,5,86.0,,138,644,21447.0,4766.0,15521,1160,,27735.0
1980,TN,Tennessee,4545590,20824,489,1700.0,,8208,10427,183632.0,68251.0,98876,16505,,283623.0
1980,TX,Texas,14169829,77978,2392,6700.0,,29547,39339,792480.0,262600.0,450792,79088,,1174789.0
1980,UT,Utah,1458729,4425,55,404.0,,1170,2796,81357.0,19283.0,57354,4720,,107916.0
1980,VA,Virginia,5323412,16355,459,1458.0,,6392,8046,229587.0,64020.0,153437,12130,,318467.0
1980,VT,Vermont,511299,914,11,149.0,,199,555,24592.0,7806.0,15278,1508,,33878.0
1980,WA,Washington,4113331,19098,225,2169.0,,5558,11146,265338.0,76598.0,172468,16272,,372405.0
1980,WI,Wisconsin,4680917,8546,136,697.0,,3310,4403,216073.0,50524.0,154070,11479,,279682.0
1980,WV,West Virginia,1930787,3547,138,306.0,,936,2167,45719.0,14258.0,27606,3855,,65829.0
